PERIOD;BRAND OWNER;BRAND;PACKAGE;WEIGHT;FAT;FAT ID;SKU;IF FLAVOURED;ADDITIVES;TASTE;VOLUME SALES;VALUE SALES;PRICE PER UNIT;NUMERIC SELLING DISTRIBIUTION (AVG);WEIGHTED SELLING DISTRIBIUTION (AVG);Average Sales Per Shop Selling
MAT APR'19;BABUSHKINA KRYNKA;BABUSHKINA KRYNKA;CUP;0.3100/KG;6%;6;BAB.KRYNKA 6% FZ 310G KLUB&ZLA;FLAVOURED;CEREALS & FRUITS;CEREALS&STRAWBERRY;48,5425;207,9584819;4,28405;29,7902;52,264;95,6699
MAT APR'19;DANONE GROUP;ACTIVIA;CUP;0.1700/KG;2,70%;3;ACTIVIA TERM.2SL.2.7% F BIO 170G PER-LEN;FLAVOURED;FRUITS/BERRIES&LINSEED;LINSEED & PEACH;45,5685;381,9997634;8,382979;16,471983;50,163767;188,7794
MAT APR'19;SAVUSHKIN PRODUCT;SAVUSHKIN;GROUP;0.1200/KG;2%;2;SAVUSHKIN 2% F 120G H VISHNYA-CHERESHNYA;FLAVOURED;FRUITS/BERRIES;CHERRY&SWEET CHERRY;45,4864;182,1829615;4,005218;34,392208;54,291508;69,7566
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.1100/KG;5%;5;NEZHNY SLIVOCHNY 5% 110G H SOK MALI-ZEML;FLAVOURED;JUICE;RASPBERRY & WILD STRAWBERRY;43,4949;167,8789714;3,859739;20,419982;45,436064;133,83
MAT APR'19;EHRMANN;ALPENLAND;GROUP;0.0950/KG;0,30%;1;ALPENLAND FRUCT. 0.3% F 95G H MIX ANANAS;FLAVOURED;FRUITS/BERRIES;UNABLE TO SEGMENT;43,0198;160,6167248;3,733553;22,408392;41,576067;116,5461
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.1000/KG;1,20%;2;NEZHNY 1.2% 100G H SOK VISHNYA;FLAVOURED;JUICE;CHERRY;42,5731;159,309984;3,742034;32,304292;63,885958;85,0742
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.1000/KG;1,20%;2;NEZHNY 1.2% 100G H SOK LESNYE YAGODY;FLAVOURED;JUICE;FOREST BERRIES;42,3276;157,7463157;3,726796;30,729583;64,065042;88,5255
MAT APR'19;FRIESLAND CAMPINA;FRUTTIS;GROUP;0.1150/KG;5%;5;FRUTTIS SLIV.LAK.5% F 115G H MIX CHERNIK;FLAVOURED;FRUITS/BERRIES;UNABLE TO SEGMENT;42,1511;184,1241212;4,368193;24,188542;54,9323;107,2475
MAT APR'19;EHRMANN;ALPENLAND;GROUP;0.0950/KG;0,30%;1;ALPENLAND FRUCT. 0.3% F 95G H MIX PERSIK;FLAVOURED;FRUITS/BERRIES;UNABLE TO SEGMENT;42,1464;164,4514527;3,90191;29,860467;45,562433;88,9282
MAT APR'19;DANONE GROUP;RASTISHKA;STAND-UP-BAG;0.0700/KG;2,60%;3;RASTISHKA 2.6% F 70G SUB YABLOKO-GRUSHA;FLAVOURED;FRUITS/BERRIES;APPLE&PEAR;41,9124;620,7429771;14,810485;48,747608;83,025833;53,549
